2455928.00	7.43	7.58
2455929.00	9.12	3.23
2455930.00	8.38	5.68
2455931.00	6.52	3.75
2455932.00	3.86	-0.91
2455933.00	2.08	-3.97
2455934.00	-2.81	-4.89
2455935.00	-5.71	-4.01
2455936.00	-3.81	-1.05
2455937.00	-2.60	0.83
2455938.00	-1.93	1.51
2455939.00	-1.83	-0.18
2455940.00	-2.57	0.75
2455941.00	1.12	4.59
2455942.00	5.50	2.65
2455943.00	1.45	-2.39
2455944.00	-1.06	0.86
2455945.00	1.37	4.02
2455946.00	1.09	0.28
2455947.00	1.71	-2.66
2455948.00	0.73	-4.00
2455949.00	-0.90	-3.94
2455950.00	-2.83	-5.95
2455951.00	-5.15	-5.10
2455952.00	-1.59	-0.21
2455953.00	2.86	-2.97
2455954.00	-0.71	-7.10
2455955.00	-4.55	-5.16
2455956.00	-4.89	-3.76
2455957.00	-3.12	-2.18
2455958.00	2.59	0.88
2455959.00	2.64	-1.70
2455960.00	-6.47	-7.65
2455961.00	-7.02	-6.50
2455962.00	-4.63	-3.75
2455963.00	2.64	-3.48
2455964.00	3.73	-6.64
2455965.00	0.76	-7.01
2455966.00	-4.09	-6.59
2455967.00	-5.75	-6.44
2455968.00	-6.88	-5.74
2455969.00	-8.33	-5.41
2455970.00	-10.45	-4.58
2455971.00	-8.10	-5.51
2455972.00	-2.96	-9.90
2455973.00	-4.53	-9.41
2455974.00	-5.96	-6.83
2455975.00	-7.72	-5.84
2455976.00	-3.90	-4.71
2455977.00	-1.04	-4.22
2455978.00	-5.52	-3.94
2455979.00	-1.30	-2.22
2455980.00	0.23	-3.37
2455981.00	-2.08	-2.54
2455982.00	-2.57	0.05
2455983.00	-1.29	0.46
2455984.00	-0.76	1.20
2455985.00	-2.71	-1.97
2455986.00	-3.77	-0.03
2455987.00	-1.31	5.79
2455988.00	-2.12	3.44
2455989.00	0.61	2.51
2455990.00	4.40	4.90
2455991.00	3.41	1.83
2455992.00	-3.94	-3.26
