1	1	1	0.00
2	1	1	0.00
3	1	1	0.00
4	1	1	0.00
5	1	1	0.00
6	1	1	0.00
1	2	1	0.00
2	2	1	0.00
3	2	1	0.00
4	2	1	0.00
5	2	1	0.00
6	2	1	0.00
1	3	1	0.00
2	3	1	0.00
3	3	1	0.00
4	3	1	0.25
5	3	1	0.00
6	3	1	0.04
1	4	1	0.00
2	4	1	0.00
3	4	1	0.00
4	4	1	0.00
5	4	1	0.00
6	4	1	0.00
1	5	1	0.00
2	5	1	0.00
3	5	1	0.00
4	5	1	0.00
5	5	1	0.00
6	5	1	0.00
1	6	1	0.00
2	6	1	0.00
3	6	1	0.00
4	6	1	0.00
5	6	1	0.00
6	6	1	0.00
1	1	2	0.00
2	1	2	0.00
3	1	2	0.00
4	1	2	0.00
5	1	2	0.03
6	1	2	0.00
1	2	2	0.00
2	2	2	0.00
3	2	2	0.01
4	2	2	0.06
5	2	2	0.08
6	2	2	0.00
1	3	2	0.21
2	3	2	0.56
3	3	2	1.81
4	3	2	4.57
5	3	2	0.55
6	3	2	1.12
1	4	2	0.01
2	4	2	0.08
3	4	2	0.19
4	4	2	0.36
5	4	2	0.00
6	4	2	0.42
1	5	2	0.00
2	5	2	0.00
3	5	2	0.00
4	5	2	0.00
5	5	2	0.00
6	5	2	0.05
1	6	2	0.00
2	6	2	0.00
3	6	2	0.00
4	6	2	0.00
5	6	2	0.00
6	6	2	0.00
1	1	3	0.00
2	1	3	0.01
3	1	3	0.08
4	1	3	0.20
5	1	3	0.44
6	1	3	0.01
1	2	3	0.06
2	2	3	0.10
3	2	3	0.29
4	2	3	0.55
5	2	3	0.59
6	2	3	0.02
1	3	3	1.43
2	3	3	1.84
3	3	3	2.50
4	3	3	3.28
5	3	3	1.23
6	3	3	1.73
1	4	3	0.33
2	4	3	0.28
3	4	3	0.37
4	4	3	0.50
5	4	3	0.01
6	4	3	1.14
1	5	3	0.05
2	5	3	0.04
3	5	3	0.03
4	5	3	0.03
5	5	3	0.00
6	5	3	0.36
1	6	3	0.00
2	6	3	0.00
3	6	3	0.00
4	6	3	0.00
5	6	3	0.00
6	6	3	0.03
1	1	4	0.18
2	1	4	0.29
3	1	4	0.41
4	1	4	0.43
5	1	4	0.75
6	1	4	0.05
1	2	4	0.25
2	2	4	0.30
3	2	4	0.43
4	2	4	0.51
5	2	4	0.82
6	2	4	0.13
1	3	4	1.45
2	3	4	1.57
3	3	4	1.54
4	3	4	1.53
5	3	4	0.80
6	3	4	1.40
1	4	4	0.22
2	4	4	0.38
3	4	4	0.51
4	4	4	0.53
5	4	4	0.06
6	4	4	1.00
1	5	4	0.07
2	5	4	0.07
3	5	4	0.15
4	5	4	0.25
5	5	4	0.00
6	5	4	0.56
1	6	4	0.00
2	6	4	0.00
3	6	4	0.00
4	6	4	0.00
5	6	4	0.00
6	6	4	0.09
